code,name,class_type,parent_code,predefined_type,definition
IfcDistributionSystemMONITORINGSYSTEM,Monitoring System,Class,IfcDistributionSystem,MONITORINGSYSTEM,Sensor-based system for building and infastructure environmental monitoring and control.
IfcDistributionSystemMUNICIPALSOLIDWASTE,Municipal Solid Waste,Class,IfcDistributionSystem,MUNICIPALSOLIDWASTE,"Items consumed and discarded, commonly known as trash or garbage."
IfcDistributionSystemOIL,Oil,Class,IfcDistributionSystem,OIL,Oil distribution system.
IfcDistributionSystemOPERATIONAL,Operational,Class,IfcDistributionSystem,OPERATIONAL,Operating supplies system.
IfcDistributionSystemOPERATIONALTELEPHONYSYSTEM,Operational Telephony System,Class,IfcDistributionSystem,OPERATIONALTELEPHONYSYSTEM,"A system that allows communications between operators (e.g. switchtender, traffic regulator, operational agents, etc.) in operational centers and on the infrastructure site (e.g. railway, tunnel or road)."
IfcDistributionSystemOVERHEAD_CONTACTLINE_SYSTEM,Overhead Contact Line System,Class,IfcDistributionSystem,OVERHEAD_CONTACTLINE_SYSTEM,An overhead contact line system above the upper limit of the train using an overhead contact line and a catenary system to supply current to traction units.
IfcDistributionSystemPOWERGENERATION,Power Generation,Class,IfcDistributionSystem,POWERGENERATION,A path for power generation.
IfcDistributionSystemRAINWATER,Rain Water,Class,IfcDistributionSystem,RAINWATER,Rainwater resulting from precipitation which directly falls on a parcel.
IfcDistributionSystemREFRIGERATION,Refrigeration,Class,IfcDistributionSystem,REFRIGERATION,Refrigerant distribution system for purposes of fulfilling all or parts of a refrigeration cycle.
IfcDistributionSystemRETURN_CIRCUIT,Return Circuit,Class,IfcDistributionSystem,RETURN_CIRCUIT,A distribution system which forms the intended path for the traction return current and the current under fault conditions.
IfcDistributionSystemSECURITY,Security,Class,IfcDistributionSystem,SECURITY,A transport or network dedicated to security system usage.
IfcDistributionSystemSEWAGE,Sewage,Class,IfcDistributionSystem,SEWAGE,Sewage collection system.
IfcDistributionSystemSIGNAL,Signal,Class,IfcDistributionSystem,SIGNAL,"A raw analog signal, such as modulated data or measurements from sensors."
IfcDistributionSystemSTORMWATER,Storm Water,Class,IfcDistributionSystem,STORMWATER,Stormwater resulting from precipitation which runs off or travels over the ground surface.
IfcDistributionSystemTELEPHONE,Telephone,Class,IfcDistributionSystem,TELEPHONE,A transport or network dedicated to telephone system usage.
IfcDistributionSystemTV,TV,Class,IfcDistributionSystem,TV,"A transport of multiple media sources such as analog cable TV, satellite TV, or over-the-air TV."
IfcDistributionSystemVACUUM,Vacuum,Class,IfcDistributionSystem,VACUUM,Vacuum distribution system.
IfcDistributionSystemVENT,Vent,Class,IfcDistributionSystem,VENT,Vent system for wastewater piping systems.
IfcDistributionSystemVENTILATION,Ventilation,Class,IfcDistributionSystem,VENTILATION,[[Ventilation]] air distribution system involved in either the exchange of air to the outside as well as circulation of air within a building.
IfcDistributionSystemWASTEWATER,Waste Water,Class,IfcDistributionSystem,WASTEWATER,"[[Water]] adversely affected in quality by anthropogenic influence, possibly originating from sewage, drainage, or other source."
IfcDistributionSystemWATERSUPPLY,Water Supply,Class,IfcDistributionSystem,WATERSUPPLY,Arbitrary water supply.
IfcDoor,Door,Class,IfcBuiltElement,,"The door is a built element that is predominately used to provide controlled access for people, goods, animals and vehicles. It includes constructions with hinged, pivoted, sliding, and additionally revolving and folding operations."
IfcDoorBOOM_BARRIER,Boom Barrier,Class,IfcDoor,BOOM_BARRIER,"A boom barrier (also known as a boom gate) is a bar, or pole pivoted to allow the boom to block vehicular or pedestrian access through a controlled point."
IfcDoorDOOR,Door,Class,IfcDoor,DOOR,"A standard door usually within a wall opening, as a door panel in a curtain wall, or as a 'free standing' door."
IfcDoorGATE,Gate,Class,IfcDoor,GATE,A gate is a point of entry into a space usually within an opening in a fence. Or as a 'free standing' gate.
IfcDoorTRAPDOOR,Trapdoor,Class,IfcDoor,TRAPDOOR,A special door that lies horizonally in a slab opening. Often used for accessing cellar or attic.
IfcDoorTURNSTILE,Turnstile,Class,IfcDoor,TURNSTILE,"A mechanical gate consisting of revolving arms, allowing only one person at a time to pass through."
IfcDuctFitting,Duct Fitting,Class,IfcFlowFitting,,"A duct fitting is a junction or transition in a ducted flow distribution system or used to connect duct segments, resulting in changes in flow characteristics to the fluid such as direction and flow rate."
IfcDuctFittingBEND,Bend,Class,IfcDuctFitting,BEND,A fitting with typically two ports used to change the direction of flow between connected elements.
IfcDuctFittingCONNECTOR,Connector,Class,IfcDuctFitting,CONNECTOR,"Connector fitting, typically used to join two ports together within a flow distribution system (e.g., a coupling used to join two duct segments)."
IfcDuctFittingENTRY,Entry,Class,IfcDuctFitting,ENTRY,"Entry fitting, typically unconnected at one port and connected to a flow distribution system at the other (e.g., an outside air duct system intake opening)."
IfcDuctFittingEXIT,Exit,Class,IfcDuctFitting,EXIT,"Exit fitting, typically unconnected at one port and connected to a flow distribution system at the other (e.g., an exhaust air discharge opening)."
IfcDuctFittingJUNCTION,Junction,Class,IfcDuctFitting,JUNCTION,"A fitting with typically more than two ports used to redistribute flow among the ports and/or to change the direction of flow between connected elements (e.g, tee, cross, wye, etc.)."
IfcDuctFittingOBSTRUCTION,Obstruction,Class,IfcDuctFitting,OBSTRUCTION,"A fitting with typically two ports used to obstruct or restrict flow between the connected elements (e.g., screen, perforated plate, etc.)."
IfcDuctFittingTRANSITION,Transition,Class,IfcDuctFitting,TRANSITION,A fitting with typically two ports having different shapes or sizes. Can also be used to change the direction of flow between connected elements.
IfcDuctSegment,Duct Segment,Class,IfcFlowSegment,,A duct segment is used to typically join two sections of duct network.
IfcDuctSegmentFLEXIBLESEGMENT,Flexible Segment,Class,IfcDuctSegment,FLEXIBLESEGMENT,A flexible segment is a continuous non-linear segment of duct that can be deformed and change the direction of flow.
IfcDuctSegmentRIGIDSEGMENT,Rigid Segment,Class,IfcDuctSegment,RIGIDSEGMENT,A rigid segment is a continuous linear segment of duct that cannot be deformed.
IfcDuctSilencer,Duct Silencer,Class,IfcFlowTreatmentDevice,,"A duct silencer is a device that is typically installed inside a duct distribution system for the purpose of reducing the noise levels from air movement, fan noise, etc. in the adjacent space or downstream of the duct silencer device."
IfcDuctSilencerFLATOVAL,Flat Oval,Class,IfcDuctSilencer,FLATOVAL,Flat-oval shaped duct silencer type.
IfcDuctSilencerRECTANGULAR,Rectangular,Class,IfcDuctSilencer,RECTANGULAR,Rectangular shaped duct silencer type.
IfcDuctSilencerROUND,Round,Class,IfcDuctSilencer,ROUND,Round duct silencer type.
IfcEarthworksCut,Earthworks Cut,Class,IfcFeatureElementSubtraction,,The resulting void from modification of existing terrain or road structure by excavation or by other means of removing material.
IfcEarthworksCutBASE_EXCAVATION,Base Excavation,Class,IfcEarthworksCut,BASE_EXCAVATION,"Excavation for basements of buildings, abutments of bridges or similar structures either partially or completely below ground level."
IfcEarthworksCutCUT,Cut,Class,IfcEarthworksCut,CUT,Excavation where soil or rock below topsoil is cut to the depth required for the construction of facilities such as roads and railways. The removed material can be used as fill ([[IfcEarthworksElement]]) for embankments or to form a level surface on which to build.
IfcEarthworksCutDREDGING,Dredging,Class,IfcEarthworksCut,DREDGING,Underwater excavation to recover material or to create a greater depth of water.
IfcEarthworksCutEXCAVATION,Excavation,Class,IfcEarthworksCut,EXCAVATION,General type of excavation when more accurate type is not specified.
IfcEarthworksCutOVEREXCAVATION,Over Excavation,Class,IfcEarthworksCut,OVEREXCAVATION,"Excavation that goes beyond the depth required for construction, in order to replace unsuitable material."
IfcEarthworksCutPAVEMENTMILLING,Pavement Milling,Class,IfcEarthworksCut,PAVEMENTMILLING,Removal of expired material from top of pavement to be replaced by new material.
IfcEarthworksCutSTEPEXCAVATION,Step Excavation,Class,IfcEarthworksCut,STEPEXCAVATION,"Removal of the soft part of the existing road slope, where it is dug into steps, when widening a road."
IfcEarthworksCutTOPSOILREMOVAL,Top Soil Removal,Class,IfcEarthworksCut,TOPSOILREMOVAL,Excavation where the topmost layer of soil containing organic material is cut or stripped. The removed topsoil can be used as fill (EarthworksElement) e.g. where planting is planned.
IfcEarthworksCutTRENCH,Trench,Class,IfcEarthworksCut,TRENCH,Excavation whose length greatly exceeds the depth and width. Trench is typically excavated for strip foundations or for buried services such as drainage or cabling.
IfcEarthworksElement,Earthworks Element,Class,IfcBuiltElement,,"A type of built element created by earthwork activities to build subgrade, to raise the level of the ground in general or reinforce or stabilize soil by some mechanical or chemical method."
IfcEarthworksFill,Earthworks Fill,Class,IfcEarthworksElement,,A type of earthworks element created by earthwork activities to build subgrade or to raise the level of the ground in general.
IfcEarthworksFillBACKFILL,Backfill,Class,IfcEarthworksFill,BACKFILL,"Fill behind retaining walls or other structures such as quays, behind abutments and bridges."
IfcEarthworksFillCOUNTERWEIGHT,Counterweight,Class,IfcEarthworksFill,COUNTERWEIGHT,Embankment built on the side of the main road structure to reduce the settlement of the road.
IfcEarthworksFillEMBANKMENT,Embankment,Class,IfcEarthworksFill,EMBANKMENT,Predominantly longitudinal type of earthworks element with no other particular assigned type according to its role in Pavement or Subgrade.;
IfcEarthworksFillSLOPEFILL,Slopefill,Class,IfcEarthworksFill,SLOPEFILL,[[Side]] slope (batter) fill abutting the road structure or back slope fill.
IfcEarthworksFillSUBGRADE,Subgrade,Class,IfcEarthworksFill,SUBGRADE,[[Type]] of earthworks element forming the structure below pavement and above natural soil.;
IfcEarthworksFillSUBGRADEBED,Subgrade Bed,Class,IfcEarthworksFill,SUBGRADEBED,"Upper part of the soil, natural or constructed, that supports the loads transmitted by the overlying structure of a road, runway, or similar hard surface."
IfcEarthworksFillTRANSITIONSECTION,Transition Section,Class,IfcEarthworksFill,TRANSITIONSECTION,Section of subgrade to ensure the consistency of stiffness and prevent uneven settlement. Transition section may appear e.g.embankment and bridge abutment; embankment and transverse structure; cutting and tunnel; embankment and cutting.
IfcElectricAppliance,Electric Appliance,Class,IfcFlowTerminal,,An electric appliance is a device intended for consumer usage that is powered by electricity.
IfcElectricApplianceDISHWASHER,Dishwasher,Class,IfcElectricAppliance,DISHWASHER,An appliance that has the primary function of washing dishes.
IfcElectricApplianceELECTRICCOOKER,Electric Cooker,Class,IfcElectricAppliance,ELECTRICCOOKER,"An electrical appliance that has the primary function of cooking food (including oven, hob, grill)."
IfcElectricApplianceFREESTANDINGELECTRICHEATER,Freestanding Electric Heater,Class,IfcElectricAppliance,FREESTANDINGELECTRICHEATER,An electrical appliance that is used occasionally to provide heat. A freestanding electric heater is a 'plugged' appliance whose load may be removed from an electric circuit.
IfcElectricApplianceFREESTANDINGFAN,Freestanding Fan,Class,IfcElectricAppliance,FREESTANDINGFAN,An electrical appliance that is used occasionally to provide ventilation. A freestanding fan is a 'plugged' appliance whose load may be removed from an electric circuit.
IfcElectricApplianceFREESTANDINGWATERCOOLER,Freestanding Water Cooler,Class,IfcElectricAppliance,FREESTANDINGWATERCOOLER,"A small, local electrical appliance for cooling water. A freestanding water cooler is a 'plugged' appliance whose load may be removed from an electric circuit."
IfcElectricApplianceFREESTANDINGWATERHEATER,Freestanding Water Heater,Class,IfcElectricAppliance,FREESTANDINGWATERHEATER,"A small, local electrical appliance for heating water. A freestanding water heater is a 'plugged' appliance whose load may be removed from an electric circuit."
IfcElectricApplianceFREEZER,Freezer,Class,IfcElectricAppliance,FREEZER,An electrical appliance that has the primary function of storing food at temperatures below the freezing point of water.
IfcElectricApplianceFRIDGE_FREEZER,Fridge Freezer,Class,IfcElectricAppliance,FRIDGE_FREEZER,An electrical appliance that combines the functions of a freezer and a refrigerator through the provision of separate compartments.
IfcElectricApplianceHANDDRYER,Hand Dryer,Class,IfcElectricAppliance,HANDDRYER,An electrical appliance that has the primary function of drying hands.
IfcElectricApplianceKITCHENMACHINE,Kitchen Machine,Class,IfcElectricAppliance,KITCHENMACHINE,A specialized appliance used in commercial kitchens such as a mixer.
IfcElectricApplianceMICROWAVE,Microwave,Class,IfcElectricAppliance,MICROWAVE,An electrical appliance that has the primary function of cooking food using microwaves.
IfcElectricAppliancePHOTOCOPIER,Photocopier,Class,IfcElectricAppliance,PHOTOCOPIER,A machine that has the primary function of reproduction of printed matter.
IfcElectricApplianceREFRIGERATOR,Refrigerator,Class,IfcElectricAppliance,REFRIGERATOR,An electrical appliance that has the primary function of storing food at low temperature but above the freezing point of water.
IfcElectricApplianceTUMBLEDRYER,Tumble Dryer,Class,IfcElectricAppliance,TUMBLEDRYER,An electrical appliance that has the primary function of drying clothes.
IfcElectricApplianceVENDINGMACHINE,Vending Machine,Class,IfcElectricAppliance,VENDINGMACHINE,"An appliance that stores and vends goods including food, drink, tickets, and goods of various types."
IfcElectricApplianceWASHINGMACHINE,Washing Machine,Class,IfcElectricAppliance,WASHINGMACHINE,An appliance that has the primary function of washing clothes.
IfcElectricFlowStorageDevice,Electric Flow Storage Device,Class,IfcFlowStorageDevice,,An electric flow storage device is a device in which electrical energy is stored and from which energy may be progressively released.
IfcElectricFlowStorageDeviceBATTERY,Battery,Class,IfcElectricFlowStorageDevice,BATTERY,A device for storing energy in chemical form so that it can be released as electrical energy.
IfcElectricFlowStorageDeviceCAPACITOR,Capacitor,Class,IfcElectricFlowStorageDevice,CAPACITOR,A device that stores electric charge when an external power supply is present using the electrical property of capacitance. Two-terminal device characterized essentially by its capacitance.;definition from IEC 60050 151-13-28.
IfcElectricFlowStorageDeviceCAPACITORBANK,Capacitorbank,Class,IfcElectricFlowStorageDevice,CAPACITORBANK,A device that stores electrical energy when an external power supply is present using the electrical property of capacitance.
IfcElectricFlowStorageDeviceCOMPENSATOR,Compensator,Class,IfcElectricFlowStorageDevice,COMPENSATOR,"A device that is used to fix or adjust the parameter of electric energy, such as voltage loss, power factor and so on."
IfcElectricFlowStorageDeviceHARMONICFILTER,Harmonic Filter,Class,IfcElectricFlowStorageDevice,HARMONICFILTER,A device that constantly injects currents that precisely correspond to the harmonic components drawn by the load.
IfcElectricFlowStorageDeviceINDUCTOR,Inductor,Class,IfcElectricFlowStorageDevice,INDUCTOR,"A device used in circuits or power systems due to their inductance, acting as a component of electric storage device."
IfcElectricFlowStorageDeviceINDUCTORBANK,Inductor Bank,Class,IfcElectricFlowStorageDevice,INDUCTORBANK,A device that stores electrical energy in a magnetic field using electrical property of inductance.
IfcElectricFlowStorageDeviceRECHARGER,Recharger,Class,IfcElectricFlowStorageDevice,RECHARGER,A recharger or battery charger is a device used to put energy into a secondary cell or rechargeable battery by forcing an electric current through it.
IfcElectricFlowStorageDeviceUPS,UPS,Class,IfcElectricFlowStorageDevice,UPS,A device that provides a time limited alternative source of power supply in the event of failure of the main supply.
IfcElectricFlowTreatmentDevice,Electric Flow Treatment Device,Class,IfcFlowTreatmentDevice,,An electric flow treatment device is used to remove unwanted matter from an electric or electronic signal in a flow distribution system.
IfcElectricFlowTreatmentDeviceELECTRONICFILTER,Electronic Filter,Class,IfcElectricFlowTreatmentDevice,ELECTRONICFILTER,"Linear two-port device designed to transmit spectral components of the input quantity according to a specified law, generally in order to pass the components in certain frequency bands and to attenuate those in other bands"
IfcElectricGenerator,Electric Generator,Class,IfcEnergyConversionDevice,,An electric generator is an engine that is a machine for converting mechanical energy into electrical energy.
IfcElectricGeneratorCHP,CHP,Class,IfcElectricGenerator,CHP,"Combined heat and power supply, used not only as a source of electric energy but also as a heating source for the building. It may therefore be not only part of an electrical system but also of a heating system."
IfcElectricGeneratorENGINEGENERATOR,Engine Generator,Class,IfcElectricGenerator,ENGINEGENERATOR,"Electrical generator with a fuel-driven engine, for example a diesel-driven emergency power supply."
IfcElectricGeneratorSTANDALONE,Standalone,Class,IfcElectricGenerator,STANDALONE,"Electrical generator which does not include its source of kinetic energy, that is, a motor, engine, or turbine are all modeled separately."
IfcElectricMotor,Electric Motor,Class,IfcEnergyConversionDevice,,An electric motor is an engine that is a machine for converting electrical energy into mechanical energy.
IfcElectricMotorDC,DC,Class,IfcElectricMotor,DC,A motor using either generated or rectified Direct [[Current]] (DC) power.
IfcElectricMotorINDUCTION,Induction,Class,IfcElectricMotor,INDUCTION,"An alternating current motor in which the primary winding on one member (usually the stator) is connected to the power source and a secondary winding or a squirrel-cage secondary winding on the other member (usually the rotor) carries the induced current. There is no physical electrical connection to the secondary winding, its current is induced."
IfcElectricMotorPOLYPHASE,Polyphase,Class,IfcElectricMotor,POLYPHASE,"A two or three-phase induction motor in which the windings, one for each phase, are evenly divided by the same number of electrical degrees."
IfcElectricMotorRELUCTANCESYNCHRONOUS,Reluctance Synchronous,Class,IfcElectricMotor,RELUCTANCESYNCHRONOUS,"A synchronous motor with a special rotor design which directly lines the rotor up with the rotating magnetic field of the stator, allowing for no slip under load."
IfcElectricMotorSYNCHRONOUS,Synchronous,Class,IfcElectricMotor,SYNCHRONOUS,A motor that operates at a constant speed up to full load. The rotor speed is equal to the speed of the rotating magnetic field of the stator; there is no slip.
IfcElectricTimeControl,Electric Time Control,Class,IfcFlowController,,An electric time control is a device that applies control to the provision or flow of electrical energy over time.
IfcElectricTimeControlRELAY,Relay,Class,IfcElectricTimeControl,RELAY,Electromagnetically operated contactor for making or breaking a control circuit.
IfcElectricTimeControlTIMECLOCK,Time Clock,Class,IfcElectricTimeControl,TIMECLOCK,A control that causes action to occur at set times.
IfcElectricTimeControlTIMEDELAY,Time Delay,Class,IfcElectricTimeControl,TIMEDELAY,A control that causes action to occur following a set duration.
IfcElement,Element,Class,IfcProduct,,An element is a generalization of all components that make up a facility.
IfcElementAssembly,Element Assembly,Class,IfcElement,Assembly,"The [[IfcElementAssembly]] represents complex element assemblies aggregated from several elements, such as discrete elements, building elements, or other elements."
IfcElementAssemblyABUTMENT,Abutment,Class,IfcElementAssembly,ABUTMENT,"A bridge abutment built up of walls, beams, slabs etc."
IfcElementAssemblyACCESSORY_ASSEMBLY,Accessory Assembly,Class,IfcElementAssembly,ACCESSORY_ASSEMBLY,Assembled accessories or components.
IfcElementAssemblyARCH,Arch,Class,IfcElementAssembly,ARCH,A curved structure.
IfcElementAssemblyBEAM_GRID,Beam Grid,Class,IfcElementAssembly,BEAM_GRID,"Interconnected beams, located in one (typically horizontal) plane."
IfcElementAssemblyBRACED_FRAME,Braced Frame,Class,IfcElementAssembly,BRACED_FRAME,A rigid frame with additional bracing members.
IfcElementAssemblyCROSS_BRACING,Cross Bracing,Class,IfcElementAssembly,CROSS_BRACING,"A Structural linear member or assembly of members inside a box girder or between girders, typically on a pier, to resist lateral forces and transfer them to the support."
IfcElementAssemblyDECK,Deck,Class,IfcElementAssembly,DECK,"A platform (such as floor or bridge deck) built up of beams, slabs."
IfcElementAssemblyDILATATIONPANEL,Dilatation Panel,Class,IfcElementAssembly,DILATATIONPANEL,"Device which permits longitudinal relative rail movement of two adjacent rails, while maintaining correct guidance and support."
IfcElementAssemblyENTRANCEWORKS,Entrance Works,Class,IfcElementAssembly,ENTRANCEWORKS,"An assembly forming the support structure of a chamber (lock, dock) gate and associated elements, plus the containment of operational equipment."
IfcElementAssemblyGIRDER,Girder,Class,IfcElementAssembly,GIRDER,"A beam-like superstructure, such as bridge main girder extending between abutments and piers built up of beams, braces (as Members) etc. - may also be an aggregation of girder segments."
IfcElementAssemblyGRID,Grid,Class,IfcElementAssembly,GRID,A framework of spaced cables or bars that are parallel to or cross each other.
IfcElementAssemblyMAST,Mast,Class,IfcElementAssembly,MAST,"An assembly of plates, members, cables or fasteners that form a vertical structure for the support or mounting of other equipment such as lights, sonar or wireless transmitters."
IfcElementAssemblyPIER,Pier,Class,IfcElementAssembly,PIER,"An intermediate support e.g. in a bridge, built up of walls, columns, beams etc."
IfcElementAssemblyPYLON,Pylon,Class,IfcElementAssembly,PYLON,A vertical structure supporting cables in suspended or stayed structure.
IfcElementAssemblyRAIL_MECHANICAL_EQUIPMENT_ASSEMB,Rail Mechanical Equipment Assembly,Class,IfcElementAssembly,RAIL_MECHANICAL_EQUIPMENT_ASSEMB,"A complex assembly made up of several components like blocking device, speed regulator, bias loaded inspector, track scale or controllable retarder."
IfcElementAssemblyREINFORCEMENT_UNIT,Reinforcement Unit,Class,IfcElementAssembly,REINFORCEMENT_UNIT,Assembled reinforcement elements.
IfcElementAssemblyRIGID_FRAME,Rigid Frame,Class,IfcElementAssembly,RIGID_FRAME,"A structure built up of beams, columns, etc. with moment-resisting joints, such as gantry"
IfcElementAssemblySHELTER,Shelter,Class,IfcElementAssembly,SHELTER,"A structure, fairly quick to setup, move or dismantle, used to give protection, especially from the weather or intrusion."
IfcElementAssemblySIGNALASSEMBLY,Signal Assembly,Class,IfcElementAssembly,SIGNALASSEMBLY,An assembly to physically aggregate together one or more signal instances (and also sign instances) including any supporting structural elements such as a simple pole or a rigid frame gantry.
IfcElementAssemblySLAB_FIELD,Slab Field,Class,IfcElementAssembly,SLAB_FIELD,"Slabs, laid out in one plane."
IfcElementAssemblySUMPBUSTER,Sump Buster,Class,IfcElementAssembly,SUMPBUSTER,An obstacle (with oil catchment basin) installed typically in a bus lane to prevent other traffic with lower ground clearance from using it. Also Sump breaker or Sump trap.
IfcElementAssemblySUPPORTINGASSEMBLY,Supporting Assembly,Class,IfcElementAssembly,SUPPORTINGASSEMBLY,"An assembly intends to support Overhead Contact Line [[System]]. It includes foundation, supporting elements and suspension assembly."
IfcElementAssemblySUSPENSIONASSEMBLY,Suspension Assembly,Class,IfcElementAssembly,SUSPENSIONASSEMBLY,A complex assembly of components used to suspend elements or cable segments.
IfcElementAssemblyTRACKPANEL,Track Panel,Class,IfcElementAssembly,TRACKPANEL,"Trackwork ensuring the support and guidance of a vehicle along a route. It consists of assembly of rail, sleepers and fastenings."
IfcElementAssemblyTRACTION_SWITCHING_ASSEMBLY,Traction Switching Assembly,Class,IfcElementAssembly,TRACTION_SWITCHING_ASSEMBLY,"A common assembly used to insure the switching function. It is composed of switches, control instruments and other components."
IfcElementAssemblyTRAFFIC_CALMING_DEVICE,Traffic Calming Device,Class,IfcElementAssembly,TRAFFIC_CALMING_DEVICE,A structure on the carriageway to control the speed of vehicles.
IfcElementAssemblyTRUSS,Truss,Class,IfcElementAssembly,TRUSS,A structure built up of members with (quasi) pinned joint.
IfcElementAssemblyTURNOUTPANEL,Turnout Panel,Class,IfcElementAssembly,TURNOUTPANEL,Trackwork ensuring the support and guidance of a vehicle along any given route among various diverging or intersecting tracks.
IfcElementComponent,Element Component,Class,IfcElement,Component,"An element component is a representation for minor items included in, added to or connecting to or between elements, which usually are not of interest from the overall building structure viewpoint. However, these small parts may have vital and load carrying functions within the construction. These items do not provide any actual space boundaries. Typical examples of _IfcElementComponent_s include different kinds of fasteners and various accessories."
IfcEnergyConversionDevice,Energy Conversion Device,Class,IfcDistributionFlowElement,,The distribution flow element [[IfcEnergyConversionDevice]] defines the occurrence of a device used to perform energy conversion or heat transfer and typically participates in a flow distribution system. Its type is defined by IfcEnergyConversionDeviceType or its subtypes.
IfcEngine,Engine,Class,IfcEnergyConversionDevice,,An engine is a device that converts fuel into mechanical energy through combustion.
IfcEngineEXTERNALCOMBUSTION,External Combustion,Class,IfcEngine,EXTERNALCOMBUSTION,Combustion is external.
IfcEngineINTERNALCOMBUSTION,Internal Combustion,Class,IfcEngine,INTERNALCOMBUSTION,Combustion is internal.
IfcEvaporativeCooler,Evaporative Cooler,Class,IfcEnergyConversionDevice,,An evaporative cooler is a device that cools air by saturating it with water vapor.
IfcEvaporativeCoolerDIRECTEVAPORATIVEAIRWASHER,Direct Evaporative Air Washer,Class,IfcEvaporativeCooler,DIRECTEVAPORATIVEAIRWASHER,"Cools the air stream by evaporating water dircectly into the air stream using coolers with spray-type air washer consist of a chamber or casing containing spray nozzles, and tank for collecting spray water, and an eliminator section for removing entrained drops of water from the air."
IfcEvaporativeCoolerDIRECTEVAPORATIVEPACKAGEDROTAR,Direct Evaporative Packaged Rotary Air Cooler,Class,IfcEvaporativeCooler,DIRECTEVAPORATIVEPACKAGEDROTAR,Cools the air stream by evaporating water dircectly into the air stream using coolers that wet and wash the evaporative pad by rotating it through a water bath.
IfcEvaporativeCoolerDIRECTEVAPORATIVERANDOMMEDIAAI,Direct Evaporative Random Media Air Cooler,Class,IfcEvaporativeCooler,DIRECTEVAPORATIVERANDOMMEDIAAI,"Cools the air stream by evaporating water dircectly into the air stream using coolers with evaporative pads, usually of aspen wood or plastic fiber/foam."
IfcEvaporativeCoolerDIRECTEVAPORATIVERIGIDMEDIAAIR,Direct Evaporative Rigid Media Air Cooler,Class,IfcEvaporativeCooler,DIRECTEVAPORATIVERIGIDMEDIAAIR,"Cools the air stream by evaporating water dircectly into the air stream using coolers with sheets of rigid, corrugated material as the wetted surface."
IfcEvaporativeCoolerDIRECTEVAPORATIVESLINGERSPACKA,Direct Evaporative Slingers Packaged Air Cooler,Class,IfcEvaporativeCooler,DIRECTEVAPORATIVESLINGERSPACKA,Cools the air stream by evaporating water dircectly into the air stream using coolers with a water slinger in an evaporative cooling section and a fan section.
IfcEvaporativeCoolerINDIRECTDIRECTCOMBINATION,Indirect Direct Combination,Class,IfcEvaporativeCooler,INDIRECTDIRECTCOMBINATION,Cools the air stream by evaporating water indirectly and without adding moisture into the air stream using a two-stage cooler with a first-stage indirect evaporative cooler and second-stage direct evaporative cooler.
IfcEvaporativeCoolerINDIRECTEVAPORATIVECOOLINGTOWE,Indirect Evaporative Cooling Tower or Coil Cooler,Class,IfcEvaporativeCooler,INDIRECTEVAPORATIVECOOLINGTOWE,Cools the air stream by evaporating water indirectly and without adding moisture into the air stream using a combination of a cooling tower or other evaporative water cooler with a water-to-air heat exchanger coil and water circulating pump.
IfcEvaporativeCoolerINDIRECTEVAPORATIVEPACKAGEAIRC,Indirect Evaporative Package Air Cooler,Class,IfcEvaporativeCooler,INDIRECTEVAPORATIVEPACKAGEAIRC,"Cools the air stream by evaporating water indirectly and without adding moisture into the air stream. On one side of the heat exchanger, the secondary air stream is cooled by evaporation, while on the other side of heat exchanger, the primary air stream (conditioned air to be supplied to the room) is sensibly cooled by the heat exchanger surfaces."
IfcEvaporativeCoolerINDIRECTEVAPORATIVEWETCOIL,Indirect Evaporative Wet Coil,Class,IfcEvaporativeCooler,INDIRECTEVAPORATIVEWETCOIL,Cools the air stream by evaporating water indirectly and without adding moisture into the air stream. [[Water]] is sprayed directly on the tubes of the heat exchanger where latent cooling takes place and the vaporization of the water on the outside of the heat exchanger tubes allows the simultaneous heat and mass transfer which removes heat from the supply air on the tube side.
IfcEvaporator,Evaporator,Class,IfcEnergyConversionDevice,,An evaporator is a device in which a liquid refrigerent is vaporized and absorbs heat from the surrounding fluid.
IfcEvaporatorDIRECTEXPANSION,Direct Expansion,Class,IfcEvaporator,DIRECTEXPANSION,Direct-expansion evaporator.
IfcEvaporatorDIRECTEXPANSIONBRAZEDPLATE,Direct Expansion Brazed Plate,Class,IfcEvaporator,DIRECTEXPANSIONBRAZEDPLATE,Direct-expansion evaporator where a refrigerant evaporates inside plates brazed or welded together to make up an assembly of separate channels.
IfcEvaporatorDIRECTEXPANSIONSHELLANDTUBE,Direct Expansion Shell and Tube,Class,IfcEvaporator,DIRECTEXPANSIONSHELLANDTUBE,Direct-expansion evaporator where a refrigerant evaporates inside a series of baffles that channel the fluid throughout the shell side.
IfcEvaporatorDIRECTEXPANSIONTUBEINTUBE,Direct Expansion Tube In Tube,Class,IfcEvaporator,DIRECTEXPANSIONTUBEINTUBE,Direct-expansion evaporator where a refrigerant evaporates inside one or more pairs of coaxial tubes.
IfcEvaporatorFLOODEDSHELLANDTUBE,Flooded Shell and Tube,Class,IfcEvaporator,FLOODEDSHELLANDTUBE,Evaporator in which refrigerant evaporates outside tubes.
IfcEvaporatorSHELLANDCOIL,Shell and Coil,Class,IfcEvaporator,SHELLANDCOIL,Evaporator in which refrigerant evaporates inside a simple coiled tube immersed in the fluid to be cooled.
IfcEvent,Event,Class,IfcProcess,,An [[IfcEvent]] is something that happens that triggers an action or response.
